STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,RESERVOIR_CLASS,PHIE_DEN,PHIT_DEN
ABAB,ABB-035,1378.6104,,-22.89,22.642,0.965,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1378.7628,,-22.901,22.642,1.012,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1378.9152,,-23.509,22.642,1.058,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1379.0676,,-24.118,22.642,1.105,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1379.22,,-24.726,22.642,1.135,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1379.3724,,-25.36,22.642,1.164,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1379.5248,,-25.994,22.642,1.194,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1379.6772,,-26.628,22.642,1.223,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1379.8296,,-26.322,22.642,1.211,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1379.982,,-26.017,22.642,1.198,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1380.1344,,-25.711,22.642,1.172,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1380.2868,,-25.299,22.642,1.145,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1380.4392,,-24.886,22.642,1.119,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1380.5916,,-24.473,22.642,1.095,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1380.744,,-24.06,22.642,1.071,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1380.8964,,-24.258,22.642,1.06,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1381.0488,,-24.455,22.642,1.05,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1381.2012,,-24.653,22.642,1.039,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1381.3536,,-24.85,22.642,1.039,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1381.506,,-24.612,22.642,1.039,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1381.6584,,-24.374,22.642,1.039,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1381.8108,,-24.136,22.642,1.072,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1381.9632,,-24.154,22.642,1.098,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1382.1156,,-24.171,22.642,1.124,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1382.268,,-24.189,22.642,1.15,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1382.4204,,-24.605,22.642,1.18,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1382.5728,,-25.021,22.642,1.21,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1382.7252,,-25.438,22.642,1.24,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1382.8776,,-25.854,22.642,1.277,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1383.03,,-25.385,22.642,1.286,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1383.1824,,-24.916,22.642,1.296,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1383.3348,,-24.448,22.642,1.306,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1383.4872,,-24.921,22.642,1.315,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1383.6396,,-25.393,22.642,1.312,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1383.792,,-25.709,22.642,1.309,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1383.9444,,-26.025,22.642,1.305,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1384.0968,,-26.341,22.642,1.302,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1384.2492,,-26.216,22.642,1.299,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1384.4016,,-26.09,22.642,1.296,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1384.554,,-25.965,22.642,1.293,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1384.7064,,-25.839,22.642,1.303,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1384.8588,,-25.286,22.642,1.312,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1385.0112,,-24.732,22.642,1.321,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1385.1636,,-23.567,22.642,1.325,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1385.316,,-22.401,22.642,1.329,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1385.4684,,-21.236,22.642,1.36,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1385.6208,,-20.07,22.642,1.391,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1385.7732,,-20.025,22.642,1.422,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1385.9256,,-19.98,22.642,1.463,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1386.078,,-20.854,22.642,1.504,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1386.2304,,-21.729,22.642,1.546,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1386.3828,,-22.604,22.642,1.587,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1386.5352,,-22.364,22.642,1.608,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1386.6876,,-22.124,22.642,1.629,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1386.84,,-21.883,22.642,1.65,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1386.9924,,-21.818,22.642,1.671,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1387.1448,,-21.752,22.642,1.692,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1387.2972,,-21.686,22.642,1.696,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1387.4496,,-21.62,22.642,1.7,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1387.602,,-21.734,22.642,1.703,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1387.7544,,-21.848,22.642,1.707,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1387.9068,,-21.961,22.642,1.71,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1388.0592,,-22.075,22.642,1.712,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
ABAB,ABB-035,1388.2116,,-21.528,22.642,1.713,0.4611,2.157,GUF,132.3492210731354,0.0,0.0,2.157,0.4611,0.3949892131324957,0.3949892131324957,0.3,0.3,2.9123625976827086,4,0.3949892131324957,0.3949892131324957
